Date,Total Electric Load,Grid Serving Load,Battery State of Charge,ElectricStorage Serving Load
2022-01-01T00:00:00.0,1179,1169.356,9.644,9.644
2022-01-01T01:00:00.0,1121,1121.0,0.0,0.0
2022-01-01T02:00:00.0,1113,1113.0,0.0,0.0
2022-01-01T03:00:00.0,1117,1117.0,0.0,0.0
2022-01-01T04:00:00.0,1153,1153.0,0.0,0.0
2022-01-01T05:00:00.0,1161,1161.0,0.0,0.0
2022-01-01T06:00:00.0,1153,1153.0,0.0,0.0
2022-01-01T07:00:00.0,1161,1161.0,0.0,0.0
2022-01-01T08:00:00.0,1156,1156.0,0.0,0.0
2022-01-01T09:00:00.0,1161,1161.0,0.0,0.0
2022-01-01T10:00:00.0,1166,1140.282,25.718,25.718
2022-01-01T11:00:00.0,1171,1171.0,0.0,0.0
2022-01-01T12:00:00.0,1179,1179.0,0.0,0.0
2022-01-01T13:00:00.0,1188,1188.0,0.0,0.0
2022-01-01T14:00:00.0,1159,1159.0,0.0,0.0
2022-01-01T15:00:00.0,1115,1115.0,0.0,0.0
2022-01-01T16:00:00.0,1114,1114.0,0.0,0.0
2022-01-01T17:00:00.0,1114,1114.0,0.0,0.0
2022-01-01T18:00:00.0,1120,1120.0,0.0,0.0
2022-01-01T19:00:00.0,1188,1188.0,0.0,0.0
2022-01-01T20:00:00.0,1113,1113.0,0.0,0.0
2022-01-01T21:00:00.0,1084,1084.0,0.0,0.0
2022-01-01T22:00:00.0,1081,1081.0,0.0,0.0
2022-01-01T23:00:00.0,1074,1074.0,0.0,0.0
2022-01-02T00:00:00.0,1045,1019.282,25.718,25.718
2022-01-02T01:00:00.0,1032,1032.0,0.0,0.0
2022-01-02T02:00:00.0,1039,1039.0,0.0,0.0
2022-01-02T03:00:00.0,1039,1039.0,0.0,0.0
2022-01-02T04:00:00.0,1032,1032.0,0.0,0.0
2022-01-02T05:00:00.0,1031,1031.0,0.0,0.0
2022-01-02T06:00:00.0,1038,1038.0,0.0,0.0
2022-01-02T07:00:00.0,1196,1196.0,0.0,0.0
2022-01-02T08:00:00.0,1219,1193.282,25.718,25.718
2022-01-02T09:00:00.0,1252,1252.0,0.0,0.0
2022-01-02T10:00:00.0,1534,1534.0,0.0,0.0
2022-01-02T11:00:00.0,1559,1559.0,0.0,0.0
2022-01-02T12:00:00.0,1597,1597.0,0.0,0.0
2022-01-02T13:00:00.0,1628,1628.0,0.0,0.0
2022-01-02T14:00:00.0,1653,1653.0,0.0,0.0
2022-01-02T15:00:00.0,1582,1582.0,0.0,0.0
2022-01-02T16:00:00.0,1514,1514.0,0.0,0.0
2022-01-02T17:00:00.0,1517,1517.0,0.0,0.0
2022-01-02T18:00:00.0,1562,1562.0,0.0,0.0
2022-01-02T19:00:00.0,1556,1556.0,0.0,0.0
2022-01-02T20:00:00.0,1553,1553.0,0.0,0.0
2022-01-02T21:00:00.0,1735,1735.0,0.0,0.0
2022-01-02T22:00:00.0,1940,1940.0,0.0,0.0
2022-01-02T23:00:00.0,2141,2141.0,0.0,0.0
2022-01-03T00:00:00.0,2485,2459.282,25.718,25.718
2022-01-03T01:00:00.0,2645,2645.0,0.0,0.0
2022-01-03T02:00:00.0,2765,2765.0,0.0,0.0
2022-01-03T03:00:00.0,2844,2844.0,0.0,0.0
2022-01-03T04:00:00.0,2845,2845.0,0.0,0.0
2022-01-03T05:00:00.0,2802,2802.0,0.0,0.0
2022-01-03T06:00:00.0,2863,2863.0,0.0,0.0
2022-01-03T07:00:00.0,2898,2898.0,0.0,0.0
2022-01-03T08:00:00.0,3075,3049.282,25.718,25.718
2022-01-03T09:00:00.0,3201,3201.0,0.0,0.0
2022-01-03T10:00:00.0,3111,3111.0,0.0,0.0
2022-01-03T11:00:00.0,3197,3197.0,0.0,0.0
2022-01-03T12:00:00.0,3217,3217.0,0.0,0.0
2022-01-03T13:00:00.0,3164,3164.0,0.0,0.0
2022-01-03T14:00:00.0,3103,3103.0,0.0,0.0
2022-01-03T15:00:00.0,3074,3074.0,0.0,0.0
2022-01-03T16:00:00.0,3201,3201.0,0.0,0.0
2022-01-03T17:00:00.0,2990,2990.0,0.0,0.0
2022-01-03T18:00:00.0,2973,2973.0,0.0,0.0
2022-01-03T19:00:00.0,2945,2945.0,0.0,0.0
2022-01-03T20:00:00.0,3063,3063.0,0.0,0.0
2022-01-03T21:00:00.0,2826,2826.0,0.0,0.0
2022-01-03T22:00:00.0,2905,2905.0,0.0,0.0
2022-01-03T23:00:00.0,2909,2909.0,0.0,0.0
2022-01-04T00:00:00.0,2881,2855.282,25.718,25.718
2022-01-04T01:00:00.0,2937,2937.0,0.0,0.0
2022-01-04T02:00:00.0,2891,2891.0,0.0,0.0
2022-01-04T03:00:00.0,2887,2887.0,0.0,0.0
2022-01-04T04:00:00.0,2914,2914.0,0.0,0.0
2022-01-04T05:00:00.0,2971,2971.0,0.0,0.0
2022-01-04T06:00:00.0,3265,3265.0,0.0,0.0
2022-01-04T07:00:00.0,3302,3302.0,0.0,0.0
2022-01-04T08:00:00.0,3304,3278.282,25.718,25.718
2022-01-04T09:00:00.0,3401,3401.0,0.0,0.0
2022-01-04T10:00:00.0,3428,3428.0,0.0,0.0
2022-01-04T11:00:00.0,3525,3525.0,0.0,0.0
2022-01-04T12:00:00.0,3563,3563.0,0.0,0.0
2022-01-04T13:00:00.0,3376,3376.0,0.0,0.0
2022-01-04T14:00:00.0,3295,3295.0,0.0,0.0
2022-01-04T15:00:00.0,3308,3308.0,0.0,0.0
2022-01-04T16:00:00.0,3295,3295.0,0.0,0.0
2022-01-04T17:00:00.0,3193,3193.0,0.0,0.0
2022-01-04T18:00:00.0,3249,3249.0,0.0,0.0
2022-01-04T19:00:00.0,3233,3233.0,0.0,0.0
2022-01-04T20:00:00.0,3296,3296.0,0.0,0.0
2022-01-04T21:00:00.0,3167,3167.0,0.0,0.0
2022-01-04T22:00:00.0,3108,3108.0,0.0,0.0
2022-01-04T23:00:00.0,2993,2993.0,0.0,0.0
2022-01-05T00:00:00.0,3008,2982.282,25.718,25.718
2022-01-05T01:00:00.0,3013,3013.0,0.0,0.0
