Scenario,A0. Business as Usual (BAU),A1. Standalone PV,A2. PV and Storage
PV Size (kW-DC),-,-,-
Battery Size (kW),-,-,202.56
Battery Capacity (kWh),-,-,258.24
Capital Cost ($),-,-,262033.56
Microgrid Upgrade and Fuel Cost ($),-,-,-
RE Penetration (%),-,-,-
Annual CO2 Emissions (Tons),48220.89,48220.89,48221.28
Lifecycle CO2 Emissions (Tons),1.03770674e6,1.03770674e6,1.03771517e6
Lifecycle CO2 Reduction (%),-,-,-
Year 1 Electric Grid Purchases (MWh),752572.8,752572.8,752575.73
Total Lifecycle Cost ($),6.316036402e7,6.316036402e7,6.302332127e7
Year 1 Energy Charges ($),4.23704449e6,4.23704449e6,4.23706094e6
Year 1 Demand Charges ($),2.61997776e6,2.61997776e6,2.57648117e6
Year 1 Total Electric Bill Costs ($),6.88144325e6,6.88144325e6,6.83796311e6
Year 1 Energy Charge Savings ($),-,-,-16.45
Year 1 Demand Charge Savings ($),-,-,43496.59
Year 1 Total Electric Bill Savings ($),-,-,43480.14
Year 1 Utility Savings (%),-,-,1.0
Total Utility Electricity Cost ($),6.316036402e7,6.316036402e7,6.276128771e7
Lifecycle Savings (%),-,-,-
Net Present Value ($),-,-,137042.75
PV Levelized Cost of Energy ($/kWh),-,-,-
Payback Period (Years),-,-,11.06
Year 1 Net Metering Benefit ($),-,-,-
