Scenario,A0. Business as Usual (BAU),A1. Standalone PV,A2. PV and Storage
PV Size (kW-DC),-,-,-
Battery Size (kW),-,-,202.56
Battery Capacity (kWh),-,-,258.24
Capital Cost ($),-,-,$262.0k
Microgrid Upgrade and Fuel Cost ($),-,-,-
RE Penetration (%),-,-,-
Annual CO2 Emissions (Tons),48220.89,48220.89,48221.28
Lifecycle CO2 Emissions (Tons),1.03770674e6,1.03770674e6,1.03771517e6
Lifecycle CO2 Reduction (%),-,-,-
Year 1 Electric Grid Purchases (MWh),752572.8,752572.8,752575.73
Total Lifecycle Cost ($),$63.2M,$63.2M,$63.0M
Year 1 Energy Charges ($),$4.2M,$4.2M,$4.2M
Year 1 Demand Charges ($),$2.6M,$2.6M,$2.6M
Year 1 Total Electric Bill Costs ($),$6.9M,$6.9M,$6.8M
Year 1 Energy Charge Savings ($),-,-,-$16.4
Year 1 Demand Charge Savings ($),-,-,$43.5k
Year 1 Total Electric Bill Savings ($),-,-,$43.5k
Year 1 Utility Savings (%),-,-,1.0
Total Utility Electricity Cost ($),$63.2M,$63.2M,$62.8M
Lifecycle Savings (%),-,-,-
Net Present Value ($),-,-,$137.0k
PV Levelized Cost of Energy ($/kWh),-,-,-
Payback Period (Years),-,-,11.06
Year 1 Net Metering Benefit ($),-,-,-
