Scenario,C0. Business as Usual (BAU),C1. Standalone PV,C2. PV and Storage
PV Size (kW-DC),-,-,-
Battery Size (kW),-,-,343.02
Battery Capacity (kWh),-,-,466.22
Capital Cost ($),-,-,455169.73
Microgrid Upgrade and Fuel Cost ($),-,-,-
RE Penetration (%),-,-,-
Annual CO2 Emissions (Tons),120331.58,120331.58,120332.11
Lifecycle CO2 Emissions (Tons),2.58951886e6,2.58951886e6,2.5895301e6
Lifecycle CO2 Reduction (%),-,-,-
Year 1 Electric Grid Purchases (MWh),1.87557894e6,1.87557894e6,1.87558324e6
Total Lifecycle Cost ($),1.523085478e8,1.523085478e8,1.5207805823e8
Year 1 Energy Charges ($),1.05489081e7,1.05489081e7,1.054893228e7
Year 1 Demand Charges ($),6.02097984e6,6.02097984e6,5.94625176e6
Year 1 Total Electric Bill Costs ($),1.659430894e7,1.659430894e7,1.651960504e7
Year 1 Energy Charge Savings ($),-,-,-24.18
Year 1 Demand Charge Savings ($),-,-,74728.08
Year 1 Total Electric Bill Savings ($),-,-,74703.9
Year 1 Utility Savings (%),-,-,-
Total Utility Electricity Cost ($),1.523085478e8,1.523085478e8,1.516228885e8
Lifecycle Savings (%),-,-,-
Net Present Value ($),-,-,230489.57
PV Levelized Cost of Energy ($/kWh),-,-,-
Payback Period (Years),-,-,11.29
Year 1 Net Metering Benefit ($),-,-,-
