Scenario,C0. Business as Usual (BAU),C1. Standalone PV,C2. PV and Storage
PV Size (kW-DC),-,-,-
Battery Size (kW),-,-,343.02
Battery Capacity (kWh),-,-,466.22
Capital Cost ($),-,-,$455.2k
Microgrid Upgrade and Fuel Cost ($),-,-,-
RE Penetration (%),-,-,-
Annual CO2 Emissions (Tons),120331.58,120331.58,120332.11
Lifecycle CO2 Emissions (Tons),2.58951886e6,2.58951886e6,2.5895301e6
Lifecycle CO2 Reduction (%),-,-,-
Year 1 Electric Grid Purchases (MWh),1.87557894e6,1.87557894e6,1.87558324e6
Total Lifecycle Cost ($),$152.3M,$152.3M,$152.1M
Year 1 Energy Charges ($),$10.5M,$10.5M,$10.5M
Year 1 Demand Charges ($),$6.0M,$6.0M,$5.9M
Year 1 Total Electric Bill Costs ($),$16.6M,$16.6M,$16.5M
Year 1 Energy Charge Savings ($),-,-,-$24.2
Year 1 Demand Charge Savings ($),-,-,$74.7k
Year 1 Total Electric Bill Savings ($),-,-,$74.7k
Year 1 Utility Savings (%),-,-,-
Total Utility Electricity Cost ($),$152.3M,$152.3M,$151.6M
Lifecycle Savings (%),-,-,-
Net Present Value ($),-,-,$230.5k
PV Levelized Cost of Energy ($/kWh),-,-,-
Payback Period (Years),-,-,11.29
Year 1 Net Metering Benefit ($),-,-,-
